job_title,role,industry
 Hiring for Spring Boot Developer-noida,Programming & Design,"IT-Software, Software Services"
 Dynamic CRM Architect,Programming & Design,"IT-Software, Software Services"
 SE / SSE - DATA,Programming & Design,"Telcom, ISP"
 Hiring for Accounts Manager (business Development)- Radio In,Retail Sales,"Media, Entertainment, Internet"
Urgent Openings for O2C,Accounts,Accounting / Finance
 ARCHITECTURAL CAD,Architectural Services,"Construction, Engineering, Cement, Metals"
" HCL Tech Hiring ""physical Design Engineers"" for VLSI R&D Division",Engineering Design,"Semiconductors, Electronics"
 Assistant Manager Purchase,Purchase/Material Management,"Electricals, Switchgears"
 Sr. Cloud Developer,Programming & Design,"Recruitment, Staffing"
 Hiring for Manager Quality ( Voice and Chat),Quality,"BPO, Call Centre, ITeS"
" South Indian Cook,",Senior Management,"Travel , Hotels , Restaurants , Airlines , Railways"
 Sharepoint Support Engineer,Admin/Maintenance/Security/Datawarehousing,IT-Hardware & Networking
 Asst Sales Manager_ API_ Chemical Distribution_ Mumbai,Corporate Sales,"Chemicals, PetroChemical, Plastic, Rubber"
 Java- Technical Lead- Tavant Technologies - Hyderabad,Programming & Design,"IT-Software, Software Services"
 Hiring For Oracle Apps DBA@ Hyderabad,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Walk in For Pharmacist @ 1mg Technologies || Gurugram Sec 14,R&D,"Medical, Healthcare, Hospitals"
" Agency Manager || Life Insurance ||ahmedabad , Bhopal , Vadodara",Retail Sales,Insurance
 HR Trainer,Teachers,"BPO, Call Centre, ITeS"
 Project Manager For Civil Work,Production/Manufacturing/Maintenance,"Real Estate, Property"
 Vacancy For Motion Graphic Artist,,"IT-Software, Software Services"
 Business Associate,Voice,"KPO, Research, Analytics"
 Project Support Officer/Administrator,Technical Support,"IT-Software, Software Services"
" Immediate Requirement For Officer - IT @ Vibgyor High, Electronic City",Admin/Maintenance/Security/Datawarehousing,"Education, Teaching, Training"
 Procurement - MDM,Purchase/Material Management,"IT-Software, Software Services"
 If You're an Experienced in International Tech Sales Then Call Us / In,Voice,"IT-Software, Software Services"
 Senior Game Artist,Programming & Design,"Animation, Gaming"
 Manager (PR),Voice,"Education, Teaching, Training"
 Senior Engineer Project,Project Management,"IT-Software, Software Services"
 PERL Developer,Programming & Design,"BPO, Call Centre, ITeS"
" SME Techincal Supervisor_ Red Hat, Fuse, Apache, Camel_magarpatta",System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Wire Industry,Corporate Sales,"Recruitment, Staffing"
 Manager Brand Marketing,Marketing,"FMCG, Foods, Beverage"
 Oracle Fusion Apps_manufacturing_any Location,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 VP / Sr.vp Fire,Safety/Health/Environment,"Real Estate, Property"
 Data Science Engineer,Programming & Design,"Medical, Healthcare, Hospitals"
Executive - Lab Instruments Maintenance,"Equipment installation, calibration, validation and maintenance. Maintain the master list for preventive maintenance and calibration of GLP AND NONGLP Instruments Preparing the IQ,OQ,PQ Documentation for new equipment during installation Attend and rectifying the CENTRIFUGE,CO2 INCUBATOR ,HPLC, CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, FPLC breakdown issues Attend and rectifying the HPLC breakdown issues Coordinating with Vendors, Projects team, Validation team and end-users for installation and qualification (IQ, OQ and PQ) of all the Biologics department equipment. Zero down time maintenance of all laboratory department equipment. Maintaining stock of equipment accessories, spares and consumables as per requirement. To assist, attend and Execute Preventive Maintenance/Breakdown Maintenance for Various Biology and Analytical equipment. Attend breakdown Maintenance calls and Perform routine Preventive Maintenance for Instruments like CENTRIFUGE, CELLCOUNTER, HPLC, ROTAVAPORS, INCUBATORS, WATER PURIFICATION SYSTEMS, HEATING STIRRERS, FLASH CHROMATOGRAPHY SYSTEMS AND VARIOUS BIO-ANALYTICAL INSTRUMENTS IN JUBILANT BIOSYS. Working with Scientists to ensure smooth running of the Equi Salary: Not Disclosed by Recruiter Industry: Pharma / Biotech / Clinical Research Functional Area: Other Employment Type: Full Time, Permanent ",Pharma / Biotech / Clinical Research
 Immediate job Opportunity For Printer Engineer in Mumbai - Vashi,Technical Support,IT-Hardware & Networking
 When you need a Roof you need a job. Come work with us,Voice,"IT-Software, Software Services"
 Senior Data Analyst,Analytics & BI,"KPO, Research, Analytics"
" Java / J2EE, Web Services also experienced in AngularJS",Programming & Design,"IT-Software, Software Services"
 Senior US IT Recruiter / Senior US Recruiter,HR/ Recruitment / IR,"Recruitment, Staffing"
 Service Engineer - Bhiwadi,Production/Manufacturing/Maintenance,"Printing, Packaging"
 Sales Manager,Institutional Sales,"Advertising, PR, MR, Event Management"
 Accounts Executive For 1-2 Years Experience,Accounts,"BPO, Call Centre, ITeS"
 Inbound Tour Manager,Ticketing/Travel/Documentation,"Travel , Hotels , Restaurants , Airlines , Railways"
 Swimming Pool Technician,Site Engineering,Other
Data Science Manager," ZS pioneers in sales force and marketing analytics applying optimization techniques to sales force and marketing investment problems. We have grown significantly and are now recognized global leaders in sales and marketing consulting. A key enabler of our services is leveraging data in delivering client solutions. The data available about customers across Healthcare and multiple industries is getting richer and the problems that our customers are trying to answer continue to evolve. In our endeavor to stay ahead of curve in providing solutions to these evolving complex business problems, ZS has set up a Data Scientist track which has following major focus areas: Research the evolving datasets and newer information sources to understand the possibilities Apply advanced analytical techniques and algorithms to improve current as well as develop cutting edge offerings/solutions Deliver client impact by collaboratively implementing and broad basing these solutions Provide thought leadership by developing the ZS Point of View in the industry The Manager position is the precursor to the Associate Principal and Principal Positions, and therefore part of the ZS leadership ladder. Every Manager leads one or more Spaces, i.e. business units focused either on a specific client, or a specific expertise area. Therefore ZS Data Science Managers are responsible for strong analytical expertise, knowledge and experience of various machine learning algorithms, tools & big data technologies, leveraging this knowledge for innovation, thought leadership, stakeholder relationship management, effectively coaching and responsible for people growth and defining-running-refining their space operating models, guided closely by Principals. Managers leverage their experience to take responsibility for providing analytical solutions across projects, deliver quality work for clients and lead client and ZS-leader relationships from beginning of their tenure. Provide expertise in architecting and implementing analytical solutions for projects Manage projects and assist in managing stakeholder relationships Direct multiple projects simultaneously, honing analytical and project management skills Motivate, coach and serve as a role model for space team members Provide thought leadership and innovation within projects and across practice areas Partner with onshore colleagues to develop new business with existing and new clients Develop and implement specific frameworks for strategy and programs Contribute to ZSs capability building and knowledge creation Coach, mentor, and conduct training programs Play an active role in India office growth related initiatives (e.g. recruiting, training, etc.). Required Candidate profile Managers have 8 - 12 years work experience in industry through consulting work or within an industry leader (a combination of experience is preferred) BE/ B.Tech / BS (stats) from Tier-1 institute would be required. PhD in Computer Science (OR Statistics) / M.Tech / MS from a premier institute would be highly preferred Substantial experience in Machine Learning Knowledge of big data/ advanced analytics concepts and algorithms text mining, social listening, recommender systems, predictive modeling, etc. Knowledge of programming Java/Python/R Exposure to tools/platforms Hadoop eco system and DB systems Agile project planning and project management skills Excellent communication skills In addition, we seek individuals with the following Desire to make a business impact for our clients Leadership experience Personal initiative and strong work ethic Self-motivation and detail orientation Organization & planning skills Communication skills Salary: Not Disclosed by Recruiter Industry: Strategy / Management Consulting Firms Functional Area: Other Employment Type: Full Time, Permanent ",Strategy / Management Consulting Firms
 Associate Vice President - Talent Acquisition - Campus Hiring Program,Senior Management,"IT-Software, Software Services"
 Governance & Performance-Performance Management-Professors,University Level,"Education, Teaching, Training"
" Manager Sales / Area Manager (tiles, Bath Fitting,paints)",Retail Sales,"Construction, Engineering, Cement, Metals"
 Operations - SME / Retail,Senior Management,"Recruitment, Staffing"
 Assistant Manager - HR Operations,HR/ Recruitment / IR,"IT-Software, Software Services"
 Sr. Sales / Sales Executive,Retail Sales,"Travel , Hotels , Restaurants , Airlines , Railways"
 Senior Business Analyst - Sql/python,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
" .NET Developer (asp.net, MVC, C#)",Programming & Design,"IT-Software, Software Services"
 Head- Land Management.,Drug Regulatory Affairs/Documentation,"Real Estate, Property"
 Sr. Business Analyst,System Design/Implementation/ERP/CRM,"Recruitment, Staffing"
 CNC Machine Operator,Production/Manufacturing/Maintenance,"Industrial Products, Heavy Machinery"
 Executive,Architectural Services,"Pharma, Biotech, Clinical Research"
 Presales Manager - Networking,,IT-Hardware & Networking
 Inside Sales Executive,Corporate Sales,"IT-Software, Software Services"
 Customer Care Executive,Other,"BPO, Call Centre, ITeS"
 HR - Talent scout specialist,Senior Management,"IT-Software, Software Services"
 Sr. Sales Manager,Retail Sales,"IT-Software, Software Services"
 Laundry Executive,Housekeeping,"Travel , Hotels , Restaurants , Airlines , Railways"
 Accounts executive,Accounts,"Recruitment, Staffing"
 MBA HR - Experience,HR/ Recruitment / IR,"IT-Software, Software Services"
 System Analyst,Programming & Design,"Media, Entertainment, Internet"
 Account Assistance,Accounts,"Internet, Ecommerce"
 Senior Embedded Engineer,Programming & Design,"IT-Software, Software Services"
 Urgent Opening For Asst. Manager-it Infrastructure - Mumbai,Admin/Maintenance/Security/Datawarehousing,"Banking, Financial Services, Broking"
 Java Developer,Programming & Design,"IT-Software, Software Services"
 Sr. Software Engineer Android/Hybrid,Programming & Design,"IT-Software, Software Services"
 Principal Engineer-Piping,Engineering Design,"Construction, Engineering, Cement, Metals"
 Business Analyst - Structured Finance,System Design/Implementation/ERP/CRM,"Banking, Financial Services, Broking"
Solution Architecting,Programming & Design,IT-Software / Software Services
 Sales / Business Development,Senior Management,"Recruitment, Staffing"
" Medical Coding Job(fresher Ug/pg) Pharm,lifescience,be(biotech&biomed)",Medical Professional,"Medical, Healthcare, Hospitals"
 Consultant,System Design/Implementation/ERP/CRM,"BPO, Call Centre, ITeS"
 Network & Security Architect- Pune,,"IT-Software, Software Services"
 Business Development Manager,Corporate Sales,"IT-Software, Software Services"
 Assistant Vice President - Stock Broking - Delhi,Senior Management,"Banking, Financial Services, Broking"
,,
 Production Manager in Press Shop & Projection Welding,Production/Manufacturing/Maintenance,"Automobile, Auto Anciliary, Auto Components"
 salesfoce Developer +3Years / Mumbai,Programming & Design,"IT-Software, Software Services"
 Social Media Executive,Online/Digital Marketing,"Media, Entertainment, Internet"
 Business Advisor,Institutional Sales,"Strategy, Management Consulting Firms"
" IT Recruiter, Technical Recruiter",HR/ Recruitment / IR,"IT-Software, Software Services"
 SAP PLM Consultant - SAP MM Module,Other,"IT-Software, Software Services"
 Python Manager - IIT/ IIM/ DSE/ ISI,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Marketing Manager - Activation - Iit/nit,Marketing,"IT-Software, Software Services"
 Hiring .Net Developers for Hyderabad Location,Programming & Design,"IT-Software, Software Services"
 Senior BI Cognos Developer,Programming & Design,"Recruitment, Staffing"
 Technical Support Engineer,Admin/Maintenance/Security/Datawarehousing,"IT-Software, Software Services"
 Senior Drupal Developer,Programming & Design,"IT-Software, Software Services"
 Pre Sales Executive,Pre Sales,"Real Estate, Property"
 Head - Sales &amp; Strategy (telematics),Senior Management,"Internet, Ecommerce"
 Content Writer Required for a Monthly Magazine,Content Development,"Media, Entertainment, Internet"
 Sales Engineers,Retail Sales,"IT-Software, Software Services"
